Название,Марка,Модель,"Пробег, км","Мощность двигателя, л","Мощность двигателя, л.с",Год выпуска,"Цена, руб",Цвет кузова,Коробка передач,Привод,Тип топлива,Город продажи
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),40000,2,190,2020,3460000,оранжевый,автомат,полный,Дизель,Санкт-Петербург
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),80000,3,286,2019,3350000,синий,автомат,задний,Дизель,Санкт-Петербург
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),114000,3,249,2017,3960000,синий,автомат,полный,Дизель,Челябинск
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),42000,2,190,2021,4500000,белый,автомат,полный,Дизель,Москва
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),38000,3,249,2018,5500000,белый,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),133000,2,190,2018,2960000,синий,автомат,полный,Дизель,Екатеринбург
BMW 3 серии 318i VII (G2x),BMW,3 серии 318i VII (G2x),53000,2,156,2021,4100000,чёрный,автомат,задний,Бензин,Москва
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",71000,2,245,2016,3300000,чёрный,автомат,задний,Бензин,Санкт-Петербург
BMW 3 серии M340i xDrive VII (G2x),BMW,3 серии M340i xDrive VII (G2x),44000,3,387,2020,3910000,белый,автомат,полный,Бензин,Химки
"Mercedes-Benz E-Класс 300 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 300 V (W213, S213, C238)",42000,2,245,2018,5500000,серебристый,автомат,задний,Бензин,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),142000,2,190,2018,2730000,чёрный,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),133000,2,190,2018,2960000,синий,автомат,полный,Дизель,Екатеринбург
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),17000,2,184,2021,4300000,синий,автомат,задний,Бензин,Саратов
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),53000,2,245,2020,5760000,чёрный,робот,передний,Бензин,Москва
BMW 5 серии 520d xDrive VII (G30/G31),BMW,5 серии 520d xDrive VII (G30/G31),80000,2,190,2018,3300000,белый,автомат,полный,Дизель,Сочи
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),45000,2,245,2021,4030000,синий,робот,передний,Бензин,Санкт-Петербург
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),41000,3,320,2020,7330000,чёрный,автомат,полный,Дизель,Москва
BMW 5 серии 540d xDrive VII (G30/G31),BMW,5 серии 540d xDrive VII (G30/G31),218000,3,320,2018,2460000,чёрный,автомат,полный,Дизель,Москва
BMW 3 серии 320d xDrive VII (G2x),BMW,3 серии 320d xDrive VII (G2x),50000,2,190,2019,3640000,белый,автомат,полный,Дизель,Москва
Audi A6 40 TDI V (C8),Audi,A6 40 TDI V (C8),65000,2,190,2019,4040000,серый,робот,передний,Дизель,Москва
"Mercedes-Benz E-Класс 400 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 400 V (W213, S213, C238)",226000,"3,5",333,2018,2770000,чёрный,автомат,полный,Бензин,Москва
BMW 5 серии 530d xDrive VII (G30/G31),BMW,5 серии 530d xDrive VII (G30/G31),111000,3,249,2020,4750000,чёрный,автомат,полный,Дизель,Казань
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),94000,2,184,2019,2920000,серый,автомат,задний,Бензин,Москва
BMW 3 серии 320i VII (G2x),BMW,3 серии 320i VII (G2x),9000,2,184,2019,4900000,синий,автомат,задний,Бензин,Ростов-на-Дону
"Mercedes-Benz E-Класс 350 d V (W213, S213, C238)",Mercedes-Benz,"E-Класс 350 d V (W213, S213, C238)",79000,3,258,2018,2800000,белый,автомат,полный,Дизель,Москва
Audi A6 55 TFSI V (C8),Audi,A6 55 TFSI V (C8),95000,3,340,2018,3680000,белый,робот,полный,Бензин,Екатеринбург
BMW 5 серии 530i xDrive VII (G30/G31),BMW,5 серии 530i xDrive VII (G30/G31),62000,2,249,2019,5860000,чёрный,автомат,полный,Бензин,Пятигорск
Audi A4 V (B9),Audi,A4 V (B9),77000,2,190,2019,2700000,синий,механика,передний,Бензин,Москва
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),87000,2,245,2018,3950000,белый,робот,полный,Бензин,Витебск
BMW 3 серии 330d VII (G2x),BMW,3 серии 330d VII (G2x),69000,3,265,2019,3050000,чёрный,автомат,задний,Дизель,Минск
Audi A4 V (B9),Audi,A4 V (B9),101000,2,190,2016,2120000,серый,механика,полный,Дизель,Санкт-Петербург
Audi A4 V (B9),Audi,A4 V (B9),64000,2,122,2019,3250000,синий,робот,передний,Дизель,Липецк
Audi A6 45 TFSI V (C8),Audi,A6 45 TFSI V (C8),59000,2,245,2019,4250000,белый,робот,полный,Бензин,Москва
BMW 5 серии 520d VII (G30/G31),BMW,5 серии 520d VII (G30/G31),53000,2,190,2019,4790000,чёрный,автомат,задний,Дизель,Москва
"Mercedes-Benz E-Класс 250 V (W213, S213, C238)",Mercedes-Benz,"E-Класс 250 V (W213, S213, C238)",28000,2,211,2019,7580000,чёрный,автомат,задний,Бензин,Москва
BMW 5 серии 520i VII (G30/G31),BMW,5 серии 520i VII (G30/G31),82000,2,184,2019,3600000,чёрный,автомат,задний,Бензин,Москва
Mercedes-Benz S-Класс 350d 4MATIC VII (W223),Mercedes-Benz,S-Класс 350d 4MATIC VII (W223),26000,"2,9",286,2021,12930000,серый,автомат,полный,Дизель,Казань
Audi A6 45 TDI V (C8),Audi,A6 45 TDI V (C8),95000,3,249,2018,3960000,белый,автомат,полный,Дизель,Санкт-Петербург
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),86000,2,252,2017,3290000,чёрный,автомат,задний,Бензин,Екатеринбург
BMW 5 серии 530i VII (G30/G31),BMW,5 серии 530i VII (G30/G31),96000,2,252,2018,2630000,белый,автомат,задний,Бензин,Могилёв
